The United States of America, Life tables (period 5x1), Females  Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)
Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2004           0      0.00625  0.00621  0.14  100000     621   99463  8006059  80.06
  2004         1-4      0.00028  0.00110  1.56   99379     110  397246  7906596  79.56
  2004         5-9      0.00013  0.00065  2.35   99269      65  496172  7509350  75.65
  2004        10-14     0.00015  0.00076  2.81   99204      75  495854  7013178  70.69
  2004        15-19     0.00039  0.00197  2.78   99128     195  495209  6517324  65.75
  2004        20-24     0.00047  0.00236  2.52   98934     233  494089  6022115  60.87
  2004        25-29     0.00055  0.00275  2.60   98700     271  492850  5528026  56.01
  2004        30-34     0.00072  0.00361  2.67   98429     355  491318  5035176  51.16
  2004        35-39     0.00109  0.00543  2.68   98074     533  489134  4543858  46.33
  2004        40-44     0.00175  0.00872  2.67   97541     851  485721  4054723  41.57
  2004        45-49     0.00263  0.01308  2.63   96690    1265  480458  3569002  36.91
  2004        50-54     0.00373  0.01846  2.63   95426    1762  472948  3088545  32.37
  2004        55-59     0.00565  0.02788  2.67   93664    2612  462237  2615596  27.93
  2004        60-64     0.00897  0.04391  2.66   91052    3998  445891  2153359  23.65
  2004        65-69     0.01372  0.06646  2.64   87054    5785  421593  1707468  19.61
  2004        70-74     0.02169  0.10317  2.64   81269    8385  386545  1285875  15.82
  2004        75-79     0.03471  0.16036  2.63   72884   11688  336703   899330  12.34
  2004        80-84     0.06136  0.26758  2.61   61196   16375  266856   562627   9.19
  2004        85-89     0.10679  0.42195  2.51   44822   18912  177093   295772   6.60
  2004        90-94     0.18354  0.61690  2.34   25909   15983   87082   118679   4.58
  2004        95-99     0.29155  0.78748  2.08    9926    7816   26810    31598   3.18
  2004       100-104    0.42911  0.90149  1.78    2109    1902    4432     4788   2.27
  2004       105-109    0.57921  0.95757  1.50     208     199     344      356   1.71
  2004       110+       0.69845  1.00000  1.43       9       9      13       13   1.43
